"Ca dao Việt nam phê phán những thói hư tật xấu","SC","","","Thanh Niên","2008","115tr; 19cm","","C100D","Tiếng Việt","H","ddc398.895 97","Tuyển chọn những bài ca dao Việt nam phê phán những thói hư tật xấu","","","<Lan Hương>","<Văn học dân gian>","<D.3258.TK><M.3257.TK><C.3259.TK>"
"An Dương Vương và nhà nước Âu Lạc","SC","","","Giáo dục","2007","43tr20.5cm","Cuộc thi biên soạn truyện tranh lịch sử theo SGK lịch sử hiện hành","A105D","Tiếng Việt","H","kk902.071","Truyền thuyết về An Dương vương, sự ra đời và suy vong của nhà nước Âu Lạc","","","<Lời : Phỏng theo tác phẩm dự thi của Nguyễn Thị Thu Hương Tranh: Hồ Vĩnh Phú>","<Lịch sử><Truyện tranh>","<D.3261.TK><M.3260.TK>"
"Phan Bội Châu nhà chí sĩ yêu nước","SC","","","Giáo dục","2007","43tr; 20.5cm","Cuộc thi biên soạn truyện tranh lịch sử theo SGK lịch sử hiện hành","PH105B","Tiếng Việt","H","kk902.071","Cuộc đời và sự nghiệp đấu tranh cách mạng của cụ Phan Bội Châu","","","<Lời: phỏng theo tác phẩm dự thi của Phan Thị Ngọc Anh Tranh: Lê Viết Trung>","<Lịch sử>","<M.3262.TK><M.3263.TK>"
"Khí tiết anh hùng","SC","","","Giáo dục","2007","31tr; 20.5cm","Cuộc thi biên soạn truyện tranh lịch sử theo SGK lịch sử hiện hành","KH300T","Tiếng Việt","H","kk902.071","Cuộc đời và sữ nghiệp đấu tranh của Hoàng Diệu","","","<Lời: phỏng theo tác phẩm dự thi của Tạ Lan Hạnh Tranh:Tạ Lan Hạnh>","<Lịch sử>","<M.3264.TK><M.3265.TK>"
"Nữ tướng Bùi Thị Xuân","SC","","","Giáo dục","2007","35tr; 20.5cm","Cuộc thi biên soạn truyện tranh lịch sử theo SGK Lịch sử hiện hành","N550T","Tiếng Việt","H","kk902.071","kể về cuộc đời của Nữ tướng anh hùng Bùi Thị Xuân","","","<Lời:phỏng théo tác phẩm dự thi của Lương Thị Thúy Kiều Tranh: Phạm Tuấn>","<Lịch sử>","<M.3266.TK><M.3267.TK>"
"Yu-Ri Ga-Ga-Rin nhà du hành vũ trụ đầu tiên","SC","","","Giáo dục","2007","27tr; 20.5cm","Cuộc thi biên soạn truyện tranh lịch sử theo SGK lịch sử hiện hành","Y500R","Tiếng Việt","H","kk902.071","Kể về cuộc đời nhà du hành vũ trụ đầu tiên Ga-Ga-Rin","","","<Lời: phỏng theo tác phẩm dự thi của Nguyễn Thị Thu Hương Tranh: Phạm Tuấn>","<Lịch sử>","<M.3268.TK><M.3269.TK>"
"Người đẹp Nghi Tàm bà Huyện Thanh Quan : Cuộc đời và thơ","SC","","","Trẻ","2008","271tr; 20.5cm","","NG558Đ","Tiếng Việt","Tp.HCM","ii895.922 1","Kể về cuộc đời và sự nghiệp thơ văn của nữ sĩ - Bà Huyện Thanh Quan","","","<Bùi Bội Tỉnh>","<Văn học>","<D.3270.TK>"
"Phương pháp tổ chức hội thi Thanh thiếu niên","SC","","","Thanh Niên","2007","167tr; 19cm","","PH561PH","Tiếng Việt","H","dda335.434 6","Hướng dẫn các phương pháp tổ chức các hội thi trong Đoàn","","","<Học Viện Thanh thiếu niên Việt Nam- Trường cao cấp Thanh niên>","<Đoàn Thanh niên>","<D.3274.TK><M.3271.TK><M.3272.TK><M.3273.TK><C.3275.TK>"
"Công tác kiểm tra và việc thi hành kỷ luật trong Đoàn","SC","","","Thanh Niên","2007","139tr; 19cm","","C455T","Tiếng Việt","H","dda335.434 6","Gồm 10 bài huấn luyện nghiệp vụ dành cho cán bộ kiểm tra của Đoàn và một số văn bản mẫu","","","<Đoàn Thanh Niên Cộng Sản Hồ Chí Minh - ủy Ban Kiểm Tra>","<Đoàn Thanh Niên Cộng Sản Hồ Chí Minh>","<D.3279.TK><M.3276.TK><M.3277.TK><M.3278.TK><C.3280.TK>"
"Thầy giáo thủy thần","SC","","","Văn Hóa Thông Tin","2008","167tr; 20.5cm","Kể truyện nhân vật lịch sử Việt Nam","TH126Gi","Tiếng Việt","H","kk959.7","Bao gồm các câu truyện truyền thuyết, dã sử và huyền thoại về các nhân vật là các Thầy giáo trong lịch sử Việt Nam","","","<Phạm Khang>","<Lịch sử>","<M.3281.TK>"
